timestamp,market_ticker,side,level,price_cents,price_dollars,size
2026-02-26T14:15:31.931897+00:00,KXNBAGAME-26FEB28TORWAS-TOR,ask,0,1,0.01,8461
2026-02-26T14:15:31.931897+00:00,KXNBAGAME-26FEB28TORWAS-TOR,ask,1,2,0.02,2000
2026-02-26T14:15:31.931897+00:00,KXNBAGAME-26FEB28TORWAS-TOR,ask,2,3,0.03,500
2026-02-26T14:15:31.931897+00:00,KXNBAGAME-26FEB28TORWAS-TOR,ask,3,5,0.05,500
2026-02-26T14:15:31.931897+00:00,KXNBAGAME-26FEB28TORWAS-TOR,ask,4,12,0.12,500
2026-02-26T14:15:31.931897+00:00,KXNBAGAME-26FEB28TORWAS-TOR,ask,5,13,0.13,500
2026-02-26T14:15:31.931897+00:00,KXNBAGAME-26FEB28TORWAS-TOR,ask,6,16,0.16,20
2026-02-26T14:15:31.931897+00:00,KXNBAGAME-26FEB28TORWAS-TOR,bid,7,1,0.01,8000
2026-02-26T14:15:31.931897+00:00,KXNBAGAME-26FEB28TORWAS-TOR,bid,6,2,0.02,2000
2026-02-26T14:15:31.931897+00:00,KXNBAGAME-26FEB28TORWAS-TOR,bid,5,3,0.03,500
2026-02-26T14:15:31.931897+00:00,KXNBAGAME-26FEB28TORWAS-TOR,bid,4,5,0.05,500
2026-02-26T14:15:31.931897+00:00,KXNBAGAME-26FEB28TORWAS-TOR,bid,3,11,0.11,500
2026-02-26T14:15:31.931897+00:00,KXNBAGAME-26FEB28TORWAS-TOR,bid,2,12,0.12,300
2026-02-26T14:15:31.931897+00:00,KXNBAGAME-26FEB28TORWAS-TOR,bid,1,13,0.13,500
2026-02-26T14:15:31.931897+00:00,KXNBAGAME-26FEB28TORWAS-TOR,bid,0,14,0.14,125
2026-02-26T14:23:07.342824+00:00,KXNBAGAME-26FEB28TORWAS-TOR,ask,0,1,0.01,11461
2026-02-26T14:23:07.342824+00:00,KXNBAGAME-26FEB28TORWAS-TOR,ask,1,2,0.02,2000
2026-02-26T14:23:07.342824+00:00,KXNBAGAME-26FEB28TORWAS-TOR,ask,2,3,0.03,500
2026-02-26T14:23:07.342824+00:00,KXNBAGAME-26FEB28TORWAS-TOR,ask,3,5,0.05,500
2026-02-26T14:23:07.342824+00:00,KXNBAGAME-26FEB28TORWAS-TOR,ask,4,12,0.12,500
2026-02-26T14:23:07.342824+00:00,KXNBAGAME-26FEB28TORWAS-TOR,ask,5,13,0.13,500
2026-02-26T14:23:07.342824+00:00,KXNBAGAME-26FEB28TORWAS-TOR,ask,6,16,0.16,20
2026-02-26T14:23:07.342824+00:00,KXNBAGAME-26FEB28TORWAS-TOR,bid,7,1,0.01,11000
2026-02-26T14:23:07.342824+00:00,KXNBAGAME-26FEB28TORWAS-TOR,bid,6,2,0.02,2000
2026-02-26T14:23:07.342824+00:00,KXNBAGAME-26FEB28TORWAS-TOR,bid,5,3,0.03,500
2026-02-26T14:23:07.342824+00:00,KXNBAGAME-26FEB28TORWAS-TOR,bid,4,5,0.05,500
2026-02-26T14:23:07.342824+00:00,KXNBAGAME-26FEB28TORWAS-TOR,bid,3,11,0.11,500
2026-02-26T14:23:07.342824+00:00,KXNBAGAME-26FEB28TORWAS-TOR,bid,2,12,0.12,300
2026-02-26T14:23:07.342824+00:00,KXNBAGAME-26FEB28TORWAS-TOR,bid,1,13,0.13,500
2026-02-26T14:23:07.342824+00:00,KXNBAGAME-26FEB28TORWAS-TOR,bid,0,14,0.14,125
2026-02-26T14:30:43.228545+00:00,KXNBAGAME-26FEB28TORWAS-TOR,ask,0,1,0.01,11461
2026-02-26T14:30:43.228545+00:00,KXNBAGAME-26FEB28TORWAS-TOR,ask,1,2,0.02,2000
2026-02-26T14:30:43.228545+00:00,KXNBAGAME-26FEB28TORWAS-TOR,ask,2,3,0.03,500
2026-02-26T14:30:43.228545+00:00,KXNBAGAME-26FEB28TORWAS-TOR,ask,3,5,0.05,500
2026-02-26T14:30:43.228545+00:00,KXNBAGAME-26FEB28TORWAS-TOR,ask,4,12,0.12,500
2026-02-26T14:30:43.228545+00:00,KXNBAGAME-26FEB28TORWAS-TOR,ask,5,13,0.13,500
